file,variant,usage,source_pdf,source_page,size,bytes,crop,rights
home-banner-60m-living-01.webp,desktop,首页 Banner / 外观场景（桌面 21:9）,半打60m²(灰度空间)方案-0914.pdf,p04,1920x823,144058,"21:9 左对齐裁切 (x0=0,w=1780)：裁掉原图右下角第三方车辆，房屋主体完整",已确认可用（主管首批决策）
home-banner-60m-living-01.jpg,jpg-fallback,首页 Banner / 外观场景（桌面 21:9）,半打60m²(灰度空间)方案-0914.pdf,p04,1920x823,261185,"21:9 左对齐裁切 (x0=0,w=1780)：裁掉原图右下角第三方车辆，房屋主体完整",已确认可用（主管首批决策）
home-banner-60m-living-01-m4x5.webp,desktop,首页 Banner / 外观场景（移动 4:5）,半打60m²(灰度空间)方案-0914.pdf,p04,960x1200,113640,"4:5 居中裁切 focus=(0.5,0.55)",已确认可用（主管首批决策）
home-banner-60m-living-01-m4x5.jpg,jpg-fallback,首页 Banner / 外观场景（移动 4:5）,半打60m²(灰度空间)方案-0914.pdf,p04,960x1200,193250,"4:5 居中裁切 focus=(0.5,0.55)",已确认可用（主管首批决策）
home-banner-60m-dining-02.webp,desktop,首页 Banner / 餐厨场景（桌面 21:9）,半打60m²(灰度空间)方案-0914.pdf,p07,1920x823,72926,"21:9 居中裁切 focus=(0.5,0.5)",已确认可用（主管首批决策）
home-banner-60m-dining-02.jpg,jpg-fallback,首页 Banner / 餐厨场景（桌面 21:9）,半打60m²(灰度空间)方案-0914.pdf,p07,1920x823,175852,"21:9 居中裁切 focus=(0.5,0.5)",已确认可用（主管首批决策）
home-banner-60m-dining-02-m4x5.webp,desktop,首页 Banner / 餐厨场景（移动 4:5）,半打60m²(灰度空间)方案-0914.pdf,p07,960x1200,71876,"4:5 居中裁切 focus=(0.5,0.55)",已确认可用（主管首批决策）
home-banner-60m-dining-02-m4x5.jpg,jpg-fallback,首页 Banner / 餐厨场景（移动 4:5）,半打60m²(灰度空间)方案-0914.pdf,p07,960x1200,155552,"4:5 居中裁切 focus=(0.5,0.55)",已确认可用（主管首批决策）
space-60m-dining.webp,desktop,首页产品氛围 / 产品详情空间图（餐厨）,半打60m²(灰度空间)方案-0914.pdf,p07,1920x1288,140206,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-dining-960w.webp,mobile,首页产品氛围 / 产品详情空间图（餐厨）,半打60m²(灰度空间)方案-0914.pdf,p07,960x644,50966,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-dining.jpg,jpg-fallback,首页产品氛围 / 产品详情空间图（餐厨）,半打60m²(灰度空间)方案-0914.pdf,p07,1920x1288,323248,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-kitchen.webp,desktop,首页产品氛围 / 产品详情空间图（厨房）,半打60m²(灰度空间)方案-0914.pdf,p08,1920x1288,187194,无裁切，等比缩放,已确认可用（主管首批决策）
